Kyle Kuzma,WAS,13000000,13000000,13000000,,,,Bird,26000000
Robert Covington,LAC,12975471,,,,,,Cap Space,12975471
Luke Kennard,LAC,12727273,13745455,14763636,14763636,,,Bird,41236364
T.J. Warren,IND,12690000,,,,,,1st Round Pick,12690000
Deandre Ayton,PHO,12632950,,,,,,1st Round Pick,12632950
Terrence Ross,ORL,12500000,11500000,,,,,Bird Rights,24000000
Jordan Clarkson,UTA,12420000,13340000,14260000,,,,Bird,25760000
Dillon Brooks,MEM,12200000,11400000,,,,,MLE,23600000
Kelly Olynyk,DET,12195122,12804878,12195122,,,,Cap Space,28000000
Kelly Oubre Jr.,CHO,12000000,12600000,,,,,Cap Space,17000000
Josh Hart,POR,12000000,12960000,12960000,,,,Bird,12000000
Jusuf Nurkić,POR,12000000,,,,,,Bird Rights,4000000
Josh Richardson,SAS,11600000,12384672,,,,,Minimum Salary,23984672
Marvin Bagley III,DET,11312114,,,,,,1st Round Pick,11312114
Devonte' Graham,NOP,11000000,11550000,12100000,12650000,,,Sign and Trade,37500000
Dwight Powell,DAL,11000000,11814815,,,,,Cap Space,22814815
Zion Williamson,NOP,10733400,13534817,,,,,1st Round Pick,10733400
Larry Nance Jr.,NOP,10690909,9672727,,,,,1st Round pick,20363636
Jeremy Lamb,SAC,10500000,,,,,,Cap Space,10500000
Richaun Holmes,SAC,10384500,11215260,12046020,12876780,,,Early Bird,33645780
Reggie Jackson,LAC,10384500,11215260,,,,,Early Bird,21599760
Anthony Edwards,MIN,10245480,10733400,13534817,,,,1st Round Pick,20978880
Luka Dončić,DAL,10174391,35700000,38556000,41412000,44268000,47124000,1st Round Pick,217234391
Cade Cunningham,DET,10050120,10552800,11055240,13940658,,,1st Round Pick,20602920
Danny Green,PHI,10000000,10000000,,,,,Early Bird,10000000
Tomáš Satoranský,SAS,10000000,,,,,,Sign and Trade,5000000
Kyle Anderson,MEM,9937150,,,,,,MLE,9937150
Serge Ibaka,MIL,9742000,,,,,,MLE,9742000
Jae Crowder,PHO,9720900,10183800,,,,,MLE,19904700
Derrick Favors,OKC,9720900,10183800,,,,,MLE,9720900
Tristan Thompson,IND,9720900,,,,,,MLE,9720900
Montrezl Harrell,CHO,9720900,,,,,,MLE,9720900
Derrick Jones Jr.,CHI,9720900,,,,,,MLE,9720900
Ja Morant,MEM,9603360,12119440,,,,,1st Round Pick,21722800
Reggie Bullock,DAL,9536000,10012800,10489600,,,,MLE,25000000
Alec Burks,NYK,9536000,10012800,10489600,,,,Cap Space,19548800
Talen Horton-Tucker,LAL,9500000,10260000,11020000,,,,Early Bird,19760000
Jaren Jackson Jr.,MEM,9180560,23437500,25312500,27187500,29062500,,1st Round Pick,114180560
James Wiseman,GSW,9166800,9603360,12119440,,,,1st Round Pick,18770160
Nicolas Batum,CHO,12213507,12372008,,,,,,18086956
Dario Šarić,PHO,9000000,9666667,,,,,Bird,18666667
Jalen Green,HOU,8992200,9441720,9891600,12483199,,,1st Round Pick,18433920
Nerlens Noel,NYK,8800000,9240000,9680000,,,,Cap Space,18040000
Jakob Poeltl,SAS,8750000,9398148,,,,,Bird,18148148
Maxi Kleber,DAL,8750000,9000000,,,,,Early Bird Rights,8750000
Thomas Bryant,WAS,8730159,,,,,,Early Bird Rights,8730159
Kemba Walker,NYK,8729020,9165471,,,,,Cap Space,17894491
Royce O'Neale,UTA,8678571,9321429,9964286,,,,Cap space,27964286
RJ Barrett,NYK,8623920,10900635,,,,,1st Round Pick,19524555
Alex Caruso,CHI,8604651,9034884,9465116,9895349,,,MLE,37000000
Delon Wright,ATL,8526316,,,,,,Sign and Trade,8526316
De'Anthony Melton,MEM,8437500,9062500,9687500,,,,Early Bird,27187500
Daniel Theis,BOS,8372093,8790698,9209302,9627907,,,Sign and Trade,36000000
Monte Morris,DEN,8333333,9000000,9666667,,,,Bird,27000000
Trae Young,ATL,8326471,29750000,32130000,34510000,36890000,39270000,1st Round Pick,180876471
JaMychal Green,DEN,8292683,8707317,,,,,Non Bird,17000000
LaMelo Ball,CHO,8231760,8623920,10900635,,,,1st Round Pick,16855680
Seth Curry,BRK,8186047,8558140,,,,,MLE,16744187
Mason Plumlee,CHO,8137500,8525000,,,,,Cap space,16662500
Evan Mobley,CLE,8075160,8478720,8882760,11227809,,,1st Round Pick,16553880
Cedi Osman,CLE,8050000,7350000,6650000,,,,MLE,15400000
DeAndre Jordan,DET,10517224,7827907,,,,,,15703440
De'Andre Hunter,ATL,7775400,9835881,,,,,1st Round Pick,17611281
Mo Bamba,ORL,7568742,,,,,,1st Round Pick,7568742
Tyus Jones,MEM,7522200,,,,,,MLE,7522200
Ivica Zubac,LAC,7518518,7518518,,,,,Bird Rights,7518518
T.J. McConnell,IND,7500000,8100000,8700000,9300000,,,Early Bird,29300000
Patrick Williams,CHI,7422000,7775400,9835881,,,,1st Round Pick,15197400
Scottie Barnes,TOR,7280520,7644720,8008560,10130828,,,1st Round Pick,14925240
Darius Garland,CLE,7040880,8920795,,,,,1st Round Pick,15961675
Chris Boucher,TOR,7009615,,,,,,Early Bird,7009615
D.J. Augustin,HOU,7000000,333333,,,,,,7333333
P.J. Tucker,MIA,7000000,7350000,,,,,MLE,7000000
Zach Collins,SAS,6984127,7333333,7682540,,,,Cap Space,22000000
Wendell Carter Jr.,ORL,6920027,14150000,13050000,11950000,10850000,,1st Round Pick,50000000
Isaac Okoro,CLE,6720720,7040880,8920795,,,,1st Round Pick,13761600
Jalen Suggs,ORL,6593040,6922440,7252200,9188537,,,1st Round Pick,13515480
Cameron Payne,PHO,6500000,6000000,6500000,,,,Early Bird,14500000
Joakim Noah,NYK,6431666,,,,,,,6431666
Jarrett Culver,MEM,6395160,8109063,,,,,1st Round Pick,6395160
Khem Birch,TOR,6350000,6667750,6985000,,,,MLE,20002750
Collin Sexton,CLE,6349671,,,,,,1st Round Pick,6349671
Juancho Hernangómez,UTA,6175440,6632880,,,,,Bird,6175440
Onyeka Okongwu,ATL,6104280,6395160,8109063,,,,1st Round Pick,12499440
Justin Holiday,SAC,6006420,6292440,,,,,Non Bird,12298860
Josh Giddey,OKC,5988000,6287400,6587040,8352367,,,1st Round Pick,12275400
Rudy Gay,UTA,5890000,6184500,6479000,,,,Mini MLE,12074500
Dennis Schröder,HOU,5890000,,,,,,Mini MLE,5890000
Patty Mills,BRK,5890000,6184500,,,,,Mini MLE,5890000
Kevin Knox,ATL,5845978,,,,,,1st Round Pick,5845978
Coby White,CHI,5837760,7413955,,,,,1st Round Pick,5837760
Timofey Mozgov,ORL,5573334,,,,,,,5573334
Killian Hayes,DET,5572680,5837760,7413955,,,,1st Round Pick,11410440
Mikal Bridges,PHO,5557725,20089286,21696429,23303571,24910714,,1st Round Pick,95557725
Shai Gilgeous-Alexander,OKC,5495532,29750000,32130000,34510000,36890000,39270000,1st Round Pick,178045532
Jonathan Kuminga,GSW,5466360,5739960,6012720,7636154,,,1st Round Pick,11206320
Miles Bridges,CHO,5421493,,,,,,1st Round Pick,5421493
Jaxson Hayes,NOP,5348280,6803012,,,,,1st Round Pick,12151292
Pat Connaughton,MIL,5333333,5728395,,,,,Early Bird,5333333
Michael Porter Jr.,DEN,5258735,29750000,32130000,34510000,36890000,39270000,1st Round Pick,150538735
Ryan Anderson,MIA,5214584,,,,,,,5214584
Hamidou Diallo,DET,5200000,5200000,,,,,Bird,5200000
Kevon Looney,GSW,5178572,,,,,,Bird Rights,5178572
Troy Brown Jr.,CHI,5170564,,,,,,1st Round Pick,5170564
Obi Toppin,NYK,5105160,5348280,6803012,,,,1st Round Pick,10453440
Franz Wagner,ORL,5007840,5258280,5508720,7007092,,,1st Round Pick,10266120
Josh Jackson,DET,5005350,,,,,,Room Exception,5005350
JaVale McGee,PHO,5000000,,,,,,MLE,5000000
Robin Lopez,ORL,5000000,,,,,,MLE,5000000
Kendrick Nunn,LAL,5000000,5250000,,,,,Mini MLE,5000000
Lou Williams,ATL,5000000,,,,,,Bird,5000000
Luol Deng,LAL,4990000,,,,,,,4990000
Rui Hachimura,WAS,4916160,6263188,,,,,1st Round Pick,11179348
Garrett Temple,NOP,4910000,5155500,5401000,,,,Sign and Trade,10065500
Cory Joseph,DET,7310000,5155000,,,,,Room Exception,7310000
Taj Gibson,NYK,4910000,5155500,,,,,Room Exception,4910000
Torrey Craig,PHO,4878049,5121951,,,,,MLE,10000000
Rajon Rondo,MEM,2641691,,,,,,,4858309
Bruce Brown,BRK,4736102,,,,,,,4736102
Deni Avdija,WAS,4692840,4916160,6263188,,,,1st Round Pick,9609000
Donte DiVincenzo,SAC,4675830,,,,,,1st Round Pick,4675830
Cam Reddish,NYK,4670160,5954454,,,,,1st Round Pick,10624614
David Nwaba,HOU,4650000,5022000,5394000,,,,Early Bird,9672000
Furkan Korkmaz,PHI,4629630,5000000,5370370,,,,Bird,15000000
Davion Mitchell,SAC,4603320,4833600,5063760,6451230,,,1st Round Pick,9436920
Ish Smith,WAS,4500000,4725000,,,,,Room Exception,4500000
Jeff Green,DEN,4500000,4500000,,,,,MLE,4500000
Jalen Smith,IND,4458000,4670160,5954454,,,,1st Round Pick,4458000
Lonnie Walker IV,SAS,4447896,,,,,,1st Round Pick,4447896
Cameron Johnson,PHO,4437000,5887899,,,,,1st Round Pick,10324899
Ziaire Williams,MEM,4373160,4591920,4810200,6133005,,,1st Round Pick,8965080
Maurice Harkless,SAC,4347600,4564980,,,,,Non Bird,8912580
Bobby Portis,MIL,4347600,4564980,,,,,Non Bird,4347600
Jarred Vanderbilt,MIN,4259259,4600000,4940741,,,,Bird,13800000
Kevin Huerter,ATL,4253357,14508929,15669643,16830357,17991071,,1st Round Pick,69253357
Devin Vassell,SAS,4235160,4437000,5887899,,,,1st Round Pick,8672160
P.J. Washington,CHO,4215120,5808435,,,,,1st Round Pick,10023555
James Bouknight,CHO,4154400,4362240,4570080,6064496,,,1st Round Pick,8516640
Josh Okogie,MIN,4087904,,,,,,1st Round Pick,4087904
Grayson Allen,MIL,4054695,9615385,10384615,,,,1st Round Pick,24054695
Tyrese Haliburton,IND,4023600,4215120,5808435,,,,1st Round Pick,8238720
Tyler Herro,MIA,4004280,5722116,,,,,1st Round Pick,9726396
Dorian Finney-Smith,DAL,4000000,12402000,13394160,14386320,15378480,,Bird Rights,44182480
Terence Davis,SAC,4000000,4000000,,,,,Early Bird,8000000
George Hill,MIL,4000000,4000000,,,,,MLE,8000000
Gorgui Dieng,ATL,4000000,,,,,,MLE,4000000
Aaron Holiday,PHO,3980551,,,,,,1st Round Pick,3980551
